Sequence,ATGNumber,position,frame
AAS51938,37.0,2620.0,1.0
AAS51938,38.0,2666.0,2.0
AAS51938,39.0,2778.0,0.0
AAS51938,40.0,2830.0,1.0
AAS51938,41.0,2911.0,1.0
AAS51938,42.0,3046.0,1.0
AAS51938,43.0,3108.0,0.0
AAS51938,44.0,3271.0,1.0
AAS51938,45.0,3280.0,1.0
AAS51938,46.0,3295.0,1.0
AAS51938,47.0,3424.0,1.0
AAS51938,48.0,3577.0,1.0
AAS51938,49.0,3613.0,1.0
AAS51938,50.0,3619.0,1.0
AAS51938,51.0,3628.0,1.0
AAS51938,52.0,3676.0,1.0
AAS52138,1.0,0.0,0.0
AAS52138,2.0,126.0,0.0
AAS52138,3.0,228.0,0.0
AAS52138,4.0,279.0,0.0
AAS52138,5.0,285.0,0.0
AAS52138,6.0,337.0,1.0
AAS52138,7.0,577.0,1.0
AAS52138,8.0,622.0,1.0
AAS52138,9.0,657.0,0.0
AAS52138,10.0,667.0,1.0
AAS52138,11.0,772.0,1.0
AAS52138,12.0,811.0,1.0
AAS52138,13.0,946.0,1.0
AAS52138,14.0,951.0,0.0
AAS52138,15.0,997.0,1.0
AAS52138,16.0,1051.0,1.0
AAS52138,17.0,1108.0,1.0
AAS52138,18.0,1114.0,1.0
AAS52138,19.0,1151.0,2.0
AAS52138,20.0,1279.0,1.0
AAS52138,21.0,1287.0,0.0
AAS52138,22.0,1297.0,1.0
AAS52138,23.0,1355.0,2.0
AAS52138,24.0,1377.0,0.0
AAS52138,25.0,1516.0,1.0
AAS52138,26.0,1597.0,1.0
AAS52138,27.0,1674.0,0.0
AAS52138,28.0,1756.0,1.0
AAS52138,29.0,1786.0,1.0
AAS52138,30.0,1859.0,2.0
AAS52031,1.0,0.0,0.0
AAS52031,2.0,32.0,2.0
AAS52031,3.0,67.0,1.0
AAS52031,4.0,82.0,1.0
AAS52031,5.0,118.0,1.0
AAS52031,6.0,126.0,0.0
AAS52031,7.0,135.0,0.0
AAS52031,8.0,238.0,1.0
AAS52031,9.0,343.0,1.0
AAS52031,10.0,357.0,0.0
AAS52031,11.0,393.0,0.0
AAS52031,12.0,431.0,2.0
AAS52031,13.0,473.0,2.0
AAS52031,14.0,565.0,1.0
AAS52031,15.0,568.0,1.0
AAS52031,16.0,606.0,0.0
AAS52031,17.0,717.0,0.0
AAS52031,18.0,739.0,1.0
AAS52031,19.0,806.0,2.0
AAS52031,20.0,819.0,0.0
AAS52031,21.0,861.0,0.0
AAS52031,22.0,888.0,0.0
AAS52289,1.0,0.0,0.0
AAS52289,2.0,7.0,1.0
AAS52289,3.0,37.0,1.0
AAS52289,4.0,154.0,1.0
AAS52289,5.0,201.0,0.0
AAS52289,6.0,205.0,1.0
AAS52289,7.0,244.0,1.0
AAS52289,8.0,293.0,2.0
AAS52289,9.0,408.0,0.0
AAS52289,10.0,555.0,0.0
AAS52289,11.0,559.0,1.0
AAS52289,12.0,574.0,1.0
AAS52289,13.0,694.0,1.0
AAS52289,14.0,730.0,1.0
AAS52289,15.0,743.0,2.0
AAS52289,16.0,757.0,1.0
AAS52289,17.0,762.0,0.0
AAS52289,18.0,823.0,1.0
AAS52289,19.0,844.0,1.0
AAS52289,20.0,907.0,1.0
AAS52289,21.0,930.0,0.0
AAS52289,22.0,1075.0,1.0
AAS52289,23.0,1225.0,1.0
AAS52289,24.0,1336.0,1.0
AAS52289,25.0,1353.0,0.0
AAS52289,26.0,1426.0,1.0
AAS52289,27.0,1444.0,1.0
AAS52289,28.0,1489.0,1.0
AAS52289,29.0,1500.0,0.0
AAS52289,30.0,1546.0,1.0
AAS52289,31.0,1578.0,0.0
AAS52289,32.0,1674.0,0.0
AAS52289,33.0,1679.0,2.0
AAS52289,34.0,1752.0,0.0
AAS52289,35.0,1932.0,0.0
AAS52289,36.0,1935.0,0.0
AAS52289,37.0,2080.0,1.0
AAS52289,38.0,2098.0,1.0
AAS52289,39.0,2209.0,1.0
AAS52289,40.0,2301.0,0.0
AAS52289,41.0,2369.0,2.0
AAS52289,42.0,2437.0,1.0
AAS51560,1.0,0.0,0.0
AAS51560,2.0,7.0,1.0
AAS51560,3.0,39.0,0.0
AAS51560,4.0,221.0,2.0
AAS51560,5.0,247.0,1.0
AAS51560,6.0,299.0,2.0
AAS51560,7.0,493.0,1.0
AAS51560,8.0,509.0,2.0
AAS51778,1.0,0.0,0.0
AAS51778,2.0,19.0,1.0
AAS51778,3.0,30.0,0.0
AAS51778,4.0,142.0,1.0
AAS51778,5.0,174.0,0.0
AAS51778,6.0,229.0,1.0
AAS51778,7.0,301.0,1.0
AAS51778,8.0,341.0,2.0
AAS51778,9.0,358.0,1.0
AAS51778,10.0,385.0,1.0
AAS51778,11.0,440.0,2.0
AAS51778,12.0,499.0,1.0
AAS51778,13.0,508.0,1.0
AAS51778,14.0,514.0,1.0
AAS51778,15.0,596.0,2.0
AAS51778,16.0,655.0,1.0
AAS51840,1.0,0.0,0.0
AAS51840,2.0,160.0,1.0
AAS51840,3.0,174.0,0.0
AAS51840,4.0,207.0,0.0
AAS51840,5.0,212.0,2.0
AAS51840,6.0,244.0,1.0
AAS51840,7.0,312.0,0.0
AAS51840,8.0,495.0,0.0
AAS51840,9.0,576.0,0.0
AAS51840,10.0,679.0,1.0
AAS51840,11.0,722.0,2.0
AAS51840,12.0,750.0,0.0
AAS51840,13.0,757.0,1.0
AAS51840,14.0,789.0,0.0
AAS51840,15.0,811.0,1.0
AAS51840,16.0,842.0,2.0
AAS51840,17.0,861.0,0.0
AAS51840,18.0,964.0,1.0
AAS51840,19.0,1002.0,0.0
AAS51840,20.0,1006.0,1.0
AAS51840,21.0,1047.0,0.0
AAS51840,22.0,1104.0,0.0
AAS51840,23.0,1188.0,0.0
AAS51840,24.0,1254.0,0.0
AAS51840,25.0,1338.0,0.0
AAS51840,26.0,1386.0,0.0
AAS51840,27.0,1415.0,2.0
AAS51840,28.0,1452.0,0.0
AAS51840,29.0,1605.0,0.0
AAS51840,30.0,1612.0,1.0
AAS51840,31.0,1656.0,0.0
AAS51840,32.0,1683.0,0.0
AAS51840,33.0,1722.0,0.0
AAS51840,34.0,1753.0,1.0
AAS51840,35.0,1777.0,1.0
AAS51840,36.0,1789.0,1.0
AAS51840,37.0,1810.0,1.0
AAS51840,38.0,1920.0,0.0
AAS51840,39.0,1969.0,1.0
AAS51840,40.0,2034.0,0.0
AAS51840,41.0,2049.0,0.0
AAS51840,42.0,2059.0,1.0
AAS51840,43.0,2194.0,1.0
AAS51840,44.0,2293.0,1.0
AAS51840,45.0,2302.0,1.0
AAS51840,46.0,2329.0,1.0
AAS51840,47.0,2347.0,1.0
AAS51840,48.0,2379.0,0.0
AAS51840,49.0,2425.0,1.0
AAS51840,50.0,2494.0,1.0
AAS51840,51.0,2500.0,1.0
AAS51840,52.0,2521.0,1.0
AAS51840,53.0,2530.0,1.0
AAS51840,54.0,2533.0,1.0
AAS51840,55.0,2554.0,1.0
AAS51746,1.0,0.0,0.0
AAS51746,2.0,41.0,2.0
AAS51746,3.0,177.0,0.0
AAS51746,4.0,196.0,1.0
AAS51746,5.0,229.0,1.0
AAS51746,6.0,268.0,1.0
AAS51746,7.0,299.0,2.0
AAS51746,8.0,329.0,2.0
AAS51746,9.0,334.0,1.0
AAS51746,10.0,400.0,1.0
AAS51746,11.0,436.0,1.0
AAS51746,12.0,470.0,2.0
AAS51746,13.0,505.0,1.0
AAS51746,14.0,534.0,0.0
AAS51746,15.0,547.0,1.0
AAS51746,16.0,586.0,1.0
AAS51746,17.0,612.0,0.0
AAS51746,18.0,712.0,1.0
AAS51746,19.0,759.0,0.0
AAS51746,20.0,996.0,0.0
AAS51746,21.0,1063.0,1.0
AAS51746,22.0,1072.0,1.0
AAS51746,23.0,1095.0,0.0
AAS51746,24.0,1300.0,1.0
AAS51746,25.0,1393.0,1.0
AAS51746,26.0,1413.0,0.0
AAS51746,27.0,1540.0,1.0
AAS51746,28.0,1582.0,1.0
AAS51746,29.0,1636.0,1.0
AAS51746,30.0,1750.0,1.0
AAS51746,31.0,1756.0,1.0
AAS51746,32.0,1801.0,1.0
AAS51746,33.0,1830.0,0.0
AAS51746,34.0,1846.0,1.0
AAS51746,35.0,1857.0,0.0
AAS51746,36.0,1876.0,1.0
AAS51746,37.0,1942.0,1.0
AAS51746,38.0,1948.0,1.0
AAS51746,39.0,1980.0,0.0
AAS51746,40.0,2053.0,1.0
AAS51746,41.0,2060.0,2.0
AAS51746,42.0,2066.0,2.0
AAS51823,1.0,0.0,0.0
AAS51823,2.0,12.0,0.0
AAS51823,3.0,16.0,1.0
AAS51823,4.0,25.0,1.0
AAS51823,5.0,49.0,1.0
AAS51823,6.0,265.0,1.0
AAS51823,7.0,340.0,1.0
AAS51823,8.0,354.0,0.0
AAS51823,9.0,423.0,0.0
AAS51823,10.0,613.0,1.0
AAS51823,11.0,750.0,0.0
AAS51823,12.0,802.0,1.0
AAS51823,13.0,808.0,1.0
AAS51823,14.0,877.0,1.0
AAS51823,15.0,890.0,2.0
AAS51823,16.0,898.0,1.0
AAS51823,17.0,901.0,1.0
AAS51823,18.0,1023.0,0.0
AAS51823,19.0,1086.0,0.0
AAS51823,20.0,1090.0,1.0
AAS51823,21.0,1195.0,1.0
AAS51823,22.0,1255.0,1.0
AAS51823,23.0,1297.0,1.0
AAS51823,24.0,1335.0,0.0
AAS51823,25.0,1360.0,1.0
AAS51823,26.0,1381.0,1.0
AAS52085,1.0,0.0,0.0
AAS52085,2.0,114.0,0.0
AAS52085,3.0,171.0,0.0
AAS52085,4.0,193.0,1.0
AAS52085,5.0,235.0,1.0
AAS52085,6.0,281.0,2.0
AAS52085,7.0,361.0,1.0
AAS52085,8.0,414.0,0.0
AAS52085,9.0,426.0,0.0
AAS52263,1.0,0.0,0.0
AAS52263,2.0,105.0,0.0
AAS52263,3.0,111.0,0.0
AAS52263,4.0,160.0,1.0
AAS52263,5.0,184.0,1.0
AAS52263,6.0,245.0,2.0
AAS52263,7.0,262.0,1.0
AAS52263,8.0,269.0,2.0
AAS52263,9.0,462.0,0.0
AAS52263,10.0,687.0,0.0
AAS52263,11.0,775.0,1.0
AAS52263,12.0,1005.0,0.0
AAS52263,13.0,1033.0,1.0
AAS52263,14.0,1042.0,1.0
AAS52263,15.0,1158.0,0.0
AAS52263,16.0,1243.0,1.0
AAS52263,17.0,1453.0,1.0
AAS52263,18.0,1637.0,2.0
AAS52263,19.0,1668.0,0.0
AAS52263,20.0,1702.0,1.0
AAS52263,21.0,1745.0,2.0
AAS52263,22.0,1858.0,1.0
AAS52263,23.0,1889.0,2.0
AAS52263,24.0,1959.0,0.0
AAS52263,25.0,1981.0,1.0
AAS52263,26.0,2007.0,0.0
AAS52263,27.0,2076.0,0.0
AAS52263,28.0,2163.0,0.0
AAS52263,29.0,2184.0,0.0
AAS52263,30.0,2225.0,2.0
AAS52263,31.0,2231.0,2.0
AAS51731,1.0,0.0,0.0
AAS51731,2.0,15.0,0.0
AAS51731,3.0,94.0,1.0
AAS51731,4.0,153.0,0.0
AAS51731,5.0,349.0,1.0
AAS51731,6.0,436.0,1.0
AAS51731,7.0,670.0,1.0
AAS51731,8.0,792.0,0.0
AAS51731,9.0,866.0,2.0
AAS51731,10.0,880.0,1.0
AAS51731,11.0,926.0,2.0
AAS51731,12.0,984.0,0.0
AAS51731,13.0,987.0,0.0
AAS51731,14.0,1007.0,2.0
AAS51731,15.0,1032.0,0.0
AAS51731,16.0,1046.0,2.0
AAS51731,17.0,1056.0,0.0
AAS51731,18.0,1099.0,1.0
AAS51731,19.0,1129.0,1.0
AAS51731,20.0,1207.0,1.0
AAS51731,21.0,1216.0,1.0
AAS51731,22.0,1227.0,0.0
AAS51731,23.0,1334.0,2.0
AAS51731,24.0,1407.0,0.0
AAS51731,25.0,1429.0,1.0
AAS51731,26.0,1512.0,0.0
AAS51731,27.0,1554.0,0.0
AAS51731,28.0,1560.0,0.0
AAS51731,29.0,1629.0,0.0
AAS51731,30.0,1644.0,0.0
AAS51731,31.0,1653.0,0.0
AAS51731,32.0,1684.0,1.0
AAS51731,33.0,1703.0,2.0
AAS51731,34.0,1839.0,0.0
AAS51731,35.0,1870.0,1.0
AAS51731,36.0,1878.0,0.0
AAS51731,37.0,1921.0,1.0
AAS51731,38.0,1987.0,1.0
AAS51731,39.0,2011.0,1.0
AAS51731,40.0,2035.0,1.0
AAS51731,41.0,2069.0,2.0
AAS51731,42.0,2098.0,1.0
AAS51731,43.0,2224.0,1.0
AAS51731,44.0,2241.0,0.0
AAS51731,45.0,2245.0,1.0
AAS51731,46.0,2251.0,1.0
AAS51731,47.0,2265.0,0.0
AAS51731,48.0,2284.0,1.0
AAS51731,49.0,2385.0,0.0
AAS51731,50.0,2408.0,2.0
AAS51731,51.0,2423.0,2.0
AAS51731,52.0,2427.0,0.0
AAS51731,53.0,2458.0,1.0
AAS51731,54.0,2551.0,1.0
AAS52191,1.0,0.0,0.0
AAS52191,2.0,16.0,1.0
AAS52191,3.0,87.0,0.0
AAS52191,4.0,115.0,1.0
AAS52191,5.0,173.0,2.0
AAS52191,6.0,360.0,0.0
AAS52191,7.0,382.0,1.0
AAS52191,8.0,399.0,0.0
AAS52191,9.0,408.0,0.0
AAS52191,10.0,459.0,0.0
AAS52191,11.0,538.0,1.0
AAS52191,12.0,645.0,0.0
AAS52191,13.0,666.0,0.0
AAS51801,1.0,0.0,0.0
AAS51801,2.0,142.0,1.0
AAS51801,3.0,189.0,0.0
AAS51801,4.0,222.0,0.0
AAS51801,5.0,408.0,0.0
AAS51801,6.0,453.0,0.0
AAS51801,7.0,477.0,0.0
AAS51801,8.0,543.0,0.0
AAS51540,1.0,0.0,0.0
AAS51540,2.0,13.0,1.0
AAS51540,3.0,100.0,1.0
AAS51540,4.0,145.0,1.0
AAS51540,5.0,172.0,1.0
AAS51540,6.0,313.0,1.0
AAS51540,7.0,337.0,1.0
AAS51540,8.0,400.0,1.0
AAS51540,9.0,421.0,1.0
AAS51540,10.0,444.0,0.0
AAS51540,11.0,477.0,0.0
AAS51540,12.0,592.0,1.0
AAS51540,13.0,601.0,1.0
AAS51540,14.0,639.0,0.0
AAS51540,15.0,814.0,1.0
AAS51540,16.0,837.0,0.0
AAS51540,17.0,847.0,1.0
AAS51540,18.0,918.0,0.0
AAS51540,19.0,973.0,1.0
AAS51540,20.0,1005.0,0.0
AAS51540,21.0,1143.0,0.0
AAS51540,22.0,1167.0,0.0
AAS51540,23.0,1183.0,1.0
AAS51540,24.0,1189.0,1.0
AAS51540,25.0,1207.0,1.0
AAS51540,26.0,1231.0,1.0
AAS51540,27.0,1242.0,0.0
AAS51540,28.0,1275.0,0.0
AAS51540,29.0,1342.0,1.0
AAS51540,30.0,1375.0,1.0
AAS51540,31.0,1379.0,2.0
AAS51540,32.0,1410.0,0.0
AAS51540,33.0,1441.0,1.0
AAS51540,34.0,1471.0,1.0
AAS51540,35.0,1492.0,1.0
AAS51540,36.0,1504.0,1.0
AAS51540,37.0,1513.0,1.0
AAS51662,1.0,0.0,0.0
AAS51662,2.0,82.0,1.0
AAS51662,3.0,85.0,1.0
AAS51662,4.0,124.0,1.0
AAS51662,5.0,143.0,2.0
AAS51662,6.0,183.0,0.0
AAS51662,7.0,207.0,0.0
AAS51662,8.0,210.0,0.0
AAS51662,9.0,371.0,2.0
AAS51662,10.0,417.0,0.0
AAS51662,11.0,423.0,0.0
AAS51662,12.0,458.0,2.0
AAS51662,13.0,687.0,0.0
AAS51662,14.0,707.0,2.0
AAS51662,15.0,868.0,1.0
AAS51662,16.0,917.0,2.0
AAS51662,17.0,1046.0,2.0
AAS51662,18.0,1183.0,1.0
AAS51662,19.0,1236.0,0.0
AAS51662,20.0,1326.0,0.0
AAS51662,21.0,1455.0,0.0
AAS51662,22.0,1467.0,0.0
AAS51662,23.0,1539.0,0.0
AAS51662,24.0,1546.0,1.0
AAS51662,25.0,1551.0,0.0
AAS51591,1.0,0.0,0.0
AAS51591,2.0,108.0,0.0
AAS51591,3.0,114.0,0.0
AAS51591,4.0,123.0,0.0
AAS51591,5.0,129.0,0.0
AAS51591,6.0,240.0,0.0
AAS51591,7.0,252.0,0.0
AAS51591,8.0,288.0,0.0
AAS51622,1.0,0.0,0.0
AAS51622,2.0,36.0,0.0
AAS51622,3.0,40.0,1.0
AAS51622,4.0,94.0,1.0
AAS51622,5.0,142.0,1.0
AAS51622,6.0,237.0,0.0
AAS51622,7.0,437.0,2.0
AAS51622,8.0,450.0,0.0
AAS51622,9.0,477.0,0.0
AAS51622,10.0,495.0,0.0
AAS51622,11.0,532.0,1.0
AAS51622,12.0,618.0,0.0
AAS51622,13.0,672.0,0.0
AAS51622,14.0,720.0,0.0
AAS51622,15.0,765.0,0.0
AAS51622,16.0,835.0,1.0
AAS51622,17.0,973.0,1.0
AAS51622,18.0,1083.0,0.0
AAS51622,19.0,1123.0,1.0
AAS51622,20.0,1273.0,1.0
AAS51622,21.0,1367.0,2.0
AAS51622,22.0,1416.0,0.0
AAS51622,23.0,1441.0,1.0
AAS51622,24.0,1450.0,1.0
AAS51622,25.0,1482.0,0.0
AAS51622,26.0,1494.0,0.0
AAS51622,27.0,1684.0,1.0
AAS51622,28.0,1765.0,1.0
AAS51622,29.0,1965.0,0.0
AAS51622,30.0,2188.0,1.0
AAS51622,31.0,2215.0,1.0
AAS51622,32.0,2284.0,1.0
AAS51622,33.0,2305.0,1.0
AAS51622,34.0,2349.0,0.0
AAS51622,35.0,2440.0,1.0
AAS51622,36.0,2451.0,0.0
AAS51622,37.0,2524.0,1.0
AAS51622,38.0,2570.0,2.0
AAS51622,39.0,2601.0,0.0
AAS51622,40.0,2668.0,1.0
AAS51622,41.0,2677.0,1.0
AAS51622,42.0,2725.0,1.0
AAS51622,43.0,2763.0,0.0
AAS51622,44.0,2769.0,0.0
AAS51622,45.0,2792.0,2.0
AAS51622,46.0,2803.0,1.0
AAS51622,47.0,2824.0,1.0
AAS51622,48.0,2896.0,1.0
AAS51622,49.0,2899.0,1.0
AAS51622,50.0,2905.0,1.0
AAS51622,51.0,2911.0,1.0
AAS51622,52.0,2931.0,0.0
AAS51622,53.0,2940.0,0.0
AAS51622,54.0,2968.0,1.0
AAS51622,55.0,3012.0,0.0
AAS51622,56.0,3025.0,1.0
AAS51622,57.0,3047.0,2.0
AAS51622,58.0,3129.0,0.0
AAS51622,59.0,3163.0,1.0
AAS51622,60.0,3169.0,1.0
AAS51622,61.0,3183.0,0.0
AAS51622,62.0,3190.0,1.0
AAS51622,63.0,3268.0,1.0
AAS51622,64.0,3289.0,1.0
AAS51622,65.0,3376.0,1.0
AAS51622,66.0,3385.0,1.0
AAS51622,67.0,3438.0,0.0
AAS51622,68.0,3502.0,1.0
AAS51622,69.0,3526.0,1.0
AAS51622,70.0,3562.0,1.0
AAS51622,71.0,3596.0,2.0
AAS51622,72.0,3679.0,1.0
AAS51622,73.0,3690.0,0.0
AAS51622,74.0,3694.0,1.0
AAS51622,75.0,3754.0,1.0
AAS51622,76.0,3826.0,1.0
AAS51622,77.0,3849.0,0.0
AAS51622,78.0,3964.0,1.0
AAS51622,79.0,4129.0,1.0
AAS51622,80.0,4180.0,1.0
AAS51622,81.0,4194.0,0.0
AAS51622,82.0,4230.0,0.0
AAS51622,83.0,4261.0,1.0
AAS51622,84.0,4359.0,0.0
AAS51622,85.0,4413.0,0.0
AAS51641,1.0,0.0,0.0
AAS51641,2.0,45.0,0.0
AAS51641,3.0,97.0,1.0
AAS51641,4.0,114.0,0.0
AAS51641,5.0,150.0,0.0
AAS51641,6.0,158.0,2.0
AAS51641,7.0,168.0,0.0
AAS51641,8.0,171.0,0.0
AAS51641,9.0,199.0,1.0
AAS51641,10.0,212.0,2.0
AAS51641,11.0,271.0,1.0
AAS51641,12.0,289.0,1.0
AAS51641,13.0,393.0,0.0
AAS51641,14.0,427.0,1.0
AAS51641,15.0,442.0,1.0
AAS51641,16.0,463.0,1.0
AAS51641,17.0,506.0,2.0
AAS51641,18.0,579.0,0.0
AAS51641,19.0,793.0,1.0
AAS51641,20.0,802.0,1.0
AAS51641,21.0,934.0,1.0
AAS51641,22.0,949.0,1.0
AAS51641,23.0,1018.0,1.0
AAS51641,24.0,1025.0,2.0
AAS51641,25.0,1088.0,2.0
AAS51641,26.0,1096.0,1.0
AAS51641,27.0,1113.0,0.0
AAS51641,28.0,1144.0,1.0
AAS51641,29.0,1153.0,1.0
AAS51641,30.0,1174.0,1.0
AAS51641,31.0,1180.0,1.0
AAS51641,32.0,1228.0,1.0
AAS51641,33.0,1335.0,0.0
AAS51641,34.0,1342.0,1.0
AAS51641,35.0,1348.0,1.0
AAS51641,36.0,1393.0,1.0
AAS51641,37.0,1405.0,1.0
AAS51641,38.0,1414.0,1.0
AAS52034,1.0,0.0,0.0
AAS52034,2.0,10.0,1.0
AAS52034,3.0,58.0,1.0
AAS52034,4.0,75.0,0.0
AAS52034,5.0,114.0,0.0
AAS52034,6.0,121.0,1.0
AAS52034,7.0,127.0,1.0
AAS52034,8.0,205.0,1.0
AAS52034,9.0,208.0,1.0
AAS52034,10.0,229.0,1.0
AAS52034,11.0,283.0,1.0
AAS52034,12.0,456.0,0.0
AAS52034,13.0,681.0,0.0
AAS52034,14.0,744.0,0.0
AAS52034,15.0,747.0,0.0
AAS52034,16.0,757.0,1.0
AAS52034,17.0,780.0,0.0
AAS52034,18.0,879.0,0.0
AAS52034,19.0,931.0,1.0
AAS52034,20.0,949.0,1.0
AAS52034,21.0,1012.0,1.0
AAS52034,22.0,1149.0,0.0
AAS52034,23.0,1167.0,0.0
AAS52034,24.0,1198.0,1.0
AAS52034,25.0,1284.0,0.0
AAS52034,26.0,1309.0,1.0
AAS52034,27.0,1348.0,1.0
AAS52034,28.0,1378.0,1.0
AAS52034,29.0,1393.0,1.0
AAS52034,30.0,1462.0,1.0
AAS52034,31.0,1480.0,1.0
AAS52034,32.0,1546.0,1.0
AAS52034,33.0,1573.0,1.0
AAS52034,34.0,1661.0,2.0
AAS52034,35.0,1747.0,1.0
AAS52034,36.0,1794.0,0.0
AAS52034,37.0,1957.0,1.0
AAS52034,38.0,2003.0,2.0
AAS52034,39.0,2014.0,1.0
AAS52034,40.0,2038.0,1.0
AAS51926,1.0,0.0,0.0
AAS51926,2.0,123.0,0.0
AAS51926,3.0,154.0,1.0
AAS51926,4.0,163.0,1.0
AAS51926,5.0,178.0,1.0
AAS51926,6.0,388.0,1.0
AAS51926,7.0,421.0,1.0
AAS51926,8.0,456.0,0.0
AAS51926,9.0,472.0,1.0
AAS51926,10.0,503.0,2.0
AAS51926,11.0,520.0,1.0
AAS51926,12.0,631.0,1.0
AAS51926,13.0,637.0,1.0
AAS51926,14.0,640.0,1.0
AAS51926,15.0,681.0,0.0
AAS51926,16.0,781.0,1.0
AAS51926,17.0,787.0,1.0
AAS51926,18.0,797.0,2.0
AAS51926,19.0,802.0,1.0
AAS51926,20.0,886.0,1.0
AAS51926,21.0,941.0,2.0
AAS51926,22.0,1022.0,2.0
AAS51926,23.0,1101.0,0.0
AAS51926,24.0,1179.0,0.0
AAS51926,25.0,1270.0,1.0
AAS51926,26.0,1339.0,1.0
AAS51926,27.0,1390.0,1.0
AAS51926,28.0,1405.0,1.0
AAS51926,29.0,1441.0,1.0
AAS51926,30.0,1447.0,1.0
AAS51926,31.0,1453.0,1.0
AAS51926,32.0,1463.0,2.0
AAS51926,33.0,1489.0,1.0
AAS51926,34.0,1493.0,2.0
AAS51926,35.0,1500.0,0.0
AAS51926,36.0,1564.0,1.0
AAS51926,37.0,1609.0,1.0
AAS51926,38.0,1620.0,0.0
AAS51926,39.0,1650.0,0.0
AAS51926,40.0,1794.0,0.0
AAS51926,41.0,1839.0,0.0
AAS51926,42.0,1864.0,1.0
AAS51926,43.0,1890.0,0.0
AAS51926,44.0,1915.0,1.0
AAS51926,45.0,1978.0,1.0
AAS51926,46.0,1983.0,0.0
AAS51926,47.0,2001.0,0.0
AAS51977,1.0,0.0,0.0
AAS51977,2.0,12.0,0.0
AAS51977,3.0,24.0,0.0
AAS51977,4.0,44.0,2.0
AAS51977,5.0,48.0,0.0
AAS51977,6.0,213.0,0.0
AAS51977,7.0,304.0,1.0
AAS51977,8.0,365.0,2.0
AAS51871,1.0,0.0,0.0
AAS51871,2.0,3.0,0.0
